,key,label,description,parent_category,meta_label,ld
86,BIDB37,Nature of business,"Provided additional information on the nature of business for business bankruptcies (e.g., Stockbroker, Health Care Business, Non-Profit Organization)",Bankruptcy Petition Newstats Snapshots Database,FJC-IDB,"Nature of business - Provided additional information on the nature of business for business bankruptcies (e.g., Stockbroker, Health Care Business, Non-Profit Organization)"
87,BIDB38,Prior filing,Code indicating whether the debtor(s) filed a bankruptcy case at any time in the previous 8 years,Bankruptcy Petition Newstats Snapshots Database,FJC-IDB,Prior filing - Code indicating whether the debtor(s) filed a bankruptcy case at any time in the previous 8 years
88,BIDB39,Original estimated assets,Code providing an estimate in ranges of total assets at filing as reported on the first record submitted to the AOUSC,Bankruptcy Petition Newstats Snapshots Database,FJC-IDB,Original estimated assets - Code providing an estimate in ranges of total assets at filing as reported on the first record submitted to the AOUSC
89,BIDB4,Closing indicator,Indicates whether the case was closed during the snapshot period,Bankruptcy Petition Newstats Snapshots Database,FJC-IDB,Closing indicator - Indicates whether the case was closed during the snapshot period
90,BIDB40,Estimated assets,Code providing an estimate in ranges of total assets at filing as reported on the most current record received by the AOUSC as of the end of the snapshot period,Bankruptcy Petition Newstats Snapshots Database,FJC-IDB,Estimated assets - Code providing an estimate in ranges of total assets at filing as reported on the most current record received by the AOUSC as of the end of the snapshot period
91,BIDB41,Original estimated liabilities,Code providing an estimate in ranges of total liabilities at filing as reported on the first record submitted to the AOUSC,Bankruptcy Petition Newstats Snapshots Database,FJC-IDB,Original estimated liabilities - Code providing an estimate in ranges of total liabilities at filing as reported on the first record submitted to the AOUSC
92,BIDB42,Estimated liabilities,Code providing an estimate in ranges of total liabilities at filing as reported on the most current record received by the AOUSC as of the end of the snapshot period,Bankruptcy Petition Newstats Snapshots Database,FJC-IDB,Estimated liabilities - Code providing an estimate in ranges of total liabilities at filing as reported on the most current record received by the AOUSC as of the end of the snapshot period
93,BIDB43,Original estimated creditors,Code providing an estimate in ranges of the number of creditors at filing as reported on the first record submitted to the AOUSC,Bankruptcy Petition Newstats Snapshots Database,FJC-IDB,Original estimated creditors - Code providing an estimate in ranges of the number of creditors at filing as reported on the first record submitted to the AOUSC
94,BIDB44,Estimated creditors,Code providing an estimate in ranges of the number of creditors at filing as reported on the most current record received by the AOUSC as of the end of the snapshot period,Bankruptcy Petition Newstats Snapshots Database,FJC-IDB,Estimated creditors - Code providing an estimate in ranges of the number of creditors at filing as reported on the most current record received by the AOUSC as of the end of the snapshot period
95,BIDB45,Original asset case,Code indicating whether there will be funds available for distribution to unsecured creditors as reported on the first record submitted to the AOUSC,Bankruptcy Petition Newstats Snapshots Database,FJC-IDB,Original asset case - Code indicating whether there will be funds available for distribution to unsecured creditors as reported on the first record submitted to the AOUSC
96,BIDB46,Asset case,Code indicating whether there will be funds available for distribution to unsecured creditors as reported on the most current record received by the AOUSC as of the end of the snapshot period,Bankruptcy Petition Newstats Snapshots Database,FJC-IDB,Asset case - Code indicating whether there will be funds available for distribution to unsecured creditors as reported on the most current record received by the AOUSC as of the end of the snapshot period
97,BIDB47,Small business debtor,Identifies if the debtor is a small business debtor in Chapter 11 cases,Bankruptcy Petition Newstats Snapshots Database,FJC-IDB,Small business debtor - Identifies if the debtor is a small business debtor in Chapter 11 cases
98,BIDB48,Prepackaged case,Provides information regarding if a plan was filed with a petition in Chapter 11 cases,Bankruptcy Petition Newstats Snapshots Database,FJC-IDB,Prepackaged case - Provides information regarding if a plan was filed with a petition in Chapter 11 cases
99,BIDB49,Total assets,"Value reflects the amount of the debtor's total assets and is the sum of the debtor's real property from Schedule A and the debtor's personal property from Schedule B, as reported on Form B6 Summary of Schedules at filing",Bankruptcy Petition Newstats Snapshots Database,FJC-IDB,"Total assets - Value reflects the amount of the debtor's total assets and is the sum of the debtor's real property from Schedule A and the debtor's personal property from Schedule B, as reported on Form B6 Summary of Schedules at filing"
100,BIDB5,Case key,"Unique 16-character identifier for each case consisting of the prefix 'BK' followed by the Circuit code, District code, Office code, Docket Number, Generation, and Sequence.",Bankruptcy Petition Newstats Snapshots Database,FJC-IDB,"Case key - Unique 16-character identifier for each case consisting of the prefix 'BK' followed by the Circuit code, District code, Office code, Docket Number, Generation, and Sequence."
101,BIDB50,Real property,"Value reflects the sum of the debtor's real property from Schedule A, as reported on Form B6 Summary of Schedules at filing",Bankruptcy Petition Newstats Snapshots Database,FJC-IDB,"Real property - Value reflects the sum of the debtor's real property from Schedule A, as reported on Form B6 Summary of Schedules at filing"
102,BIDB51,Personal property,"Value reflects the sum of the debtor's personal property from Schedule B, as reported on Form B6 Summary of Schedules at filing",Bankruptcy Petition Newstats Snapshots Database,FJC-IDB,"Personal property - Value reflects the sum of the debtor's personal property from Schedule B, as reported on Form B6 Summary of Schedules at filing"
103,BIDB52,Total liabilities,"Value reflects the amount of the debtor's total liabilities at filing; sum of the secured claims from Schedule D, the unsecured priority claims from Schedule E, and the unsecured nonpriority claims from Schedule F, as reported on Form B6 Summary of Schedules",Bankruptcy Petition Newstats Snapshots Database,FJC-IDB,"Total liabilities - Value reflects the amount of the debtor's total liabilities at filing; sum of the secured claims from Schedule D, the unsecured priority claims from Schedule E, and the unsecured nonpriority claims from Schedule F, as reported on Form B6 Summary of Schedules"
104,BIDB53,Secured claims,"Value reflects the sum of the secured claims from Schedule D, as reported on Form B6 Summary of Schedules at filing",Bankruptcy Petition Newstats Snapshots Database,FJC-IDB,"Secured claims - Value reflects the sum of the secured claims from Schedule D, as reported on Form B6 Summary of Schedules at filing"
105,BIDB54,Unsecured priority claims,"Value reflects the sum of unsecured priority claims from Schedule E, as reported on Form B6 Summary of Schedules at filing",Bankruptcy Petition Newstats Snapshots Database,FJC-IDB,"Unsecured priority claims - Value reflects the sum of unsecured priority claims from Schedule E, as reported on Form B6 Summary of Schedules at filing"
106,BIDB55,Unsecured nonpriority claims,Value reflects the sum of the unsecured nonpriority claims from Schedule F. as reported on Form B6 Summary of Schedules at filing,Bankruptcy Petition Newstats Snapshots Database,FJC-IDB,Unsecured nonpriority claims - Value reflects the sum of the unsecured nonpriority claims from Schedule F. as reported on Form B6 Summary of Schedules at filing
107,BIDB56,Total debt discharged,"This is the amount of the total debt that presumptively will be discharged, and is calculated by subtracting 'Non Dischargeable Debt' from the sum of 'Secured Claims', 'Unsecured Priority Claims', and 'Unsecured NonPriority Claims'",Bankruptcy Petition Newstats Snapshots Database,FJC-IDB,"Total debt discharged - This is the amount of the total debt that presumptively will be discharged, and is calculated by subtracting 'Non Dischargeable Debt' from the sum of 'Secured Claims', 'Unsecured Priority Claims', and 'Unsecured NonPriority Claims'"
108,BIDB57,Non dischargeable debt,"This field reports debt from Schedules E and F that is predominantly non-dischargeable, and is the total of certain amounts reported on the Statistical Summary of Certain Liabilities and Related Data at filing; see full description",Bankruptcy Petition Newstats Snapshots Database,FJC-IDB,"Non dischargeable debt - This field reports debt from Schedules E and F that is predominantly non-dischargeable, and is the total of certain amounts reported on the Statistical Summary of Certain Liabilities and Related Data at filing; see full description"
109,BIDB58,Total debt,This is the sum of 'Total Debt Discharged' and 'Non Dischargeable Debt',Bankruptcy Petition Newstats Snapshots Database,FJC-IDB,Total debt - This is the sum of 'Total Debt Discharged' and 'Non Dischargeable Debt'
110,BIDB59,Current monthly income,"Current monthly income is from Line 12 of form 22A for chapter 7 debtors, Line 11 of form 22B for Chapter 11 debtors, and Line 20 of form 22C for chapter 13 debtors, as reported on the Statistical Summary of Certain Liabilities and Related Data at filing",Bankruptcy Petition Newstats Snapshots Database,FJC-IDB,"Current monthly income - Current monthly income is from Line 12 of form 22A for chapter 7 debtors, Line 11 of form 22B for Chapter 11 debtors, and Line 20 of form 22C for chapter 13 debtors, as reported on the Statistical Summary of Certain Liabilities and Related Data at filing"
111,BIDB6,District,Code of the federal judicial district in which the case is located,Bankruptcy Petition Newstats Snapshots Database; Civil Integrated Database; Criminal Integrated Database,FJC-IDB,District - Code of the federal judicial district in which the case is located
112,BIDB60,Average monthly income,"Average Monthly Income from Line 16 of Schedule I, as reported on the Statistical Summary of Certain Liabilities and Related Data at filing",Bankruptcy Petition Newstats Snapshots Database,FJC-IDB,"Average monthly income - Average Monthly Income from Line 16 of Schedule I, as reported on the Statistical Summary of Certain Liabilities and Related Data at filing"
113,BIDB61,Average monthly expenses,"Average Monthly Income from Line 18 of Schedule J, as reported on the Statistical Summary of Certain Liabilities and Related Data at filing",Bankruptcy Petition Newstats Snapshots Database,FJC-IDB,"Average monthly expenses - Average Monthly Income from Line 18 of Schedule J, as reported on the Statistical Summary of Certain Liabilities and Related Data at filing"
114,BIDB62,Source case number,"For transferred cases, the source case number on the case record in the transferee office/district contains unique identifying information about the case from which the transfer occurred; when a case has been split from its original case, the source case number on the case record for the resulting case contains unique identifying information about the case from which the split occurred",Bankruptcy Petition Newstats Snapshots Database,FJC-IDB,"Source case number - For transferred cases, the source case number on the case record in the transferee office/district contains unique identifying information about the case from which the transfer occurred; when a case has been split from its original case, the source case number on the case record for the resulting case contains unique identifying information about the case from which the split occurred"
115,BIDB63,Destination case number,"When a case is transferred, the destination case number on the case record in the transferor office/district contains unique identifying information about the case in the transferee district; when a case has been split from its original case, the destination case number on the original case record contains unique identifying information about the case that was split off",Bankruptcy Petition Newstats Snapshots Database,FJC-IDB,"Destination case number - When a case is transferred, the destination case number on the case record in the transferor office/district contains unique identifying information about the case in the transferee district; when a case has been split from its original case, the destination case number on the original case record contains unique identifying information about the case that was split off"
116,BIDB64,Consolidated lead case number,For consolidated cases: reflects unique identifying information for the lead case,Bankruptcy Petition Newstats Snapshots Database,FJC-IDB,Consolidated lead case number - For consolidated cases: reflects unique identifying information for the lead case
117,BIDB65,Jointly administered case number,For jointly administered cases: reflects unique identifying information for the lead case,Bankruptcy Petition Newstats Snapshots Database,FJC-IDB,Jointly administered case number - For jointly administered cases: reflects unique identifying information for the lead case
118,BIDB66,Filing CMECF version,"Version of CM/ECF the court was using at the time the case record containing the filing data was transmitted to AOUSC, which may or may not reflect the version of CM/ECF in place when the case was filed",Bankruptcy Petition Newstats Snapshots Database,FJC-IDB,"Filing CMECF version - Version of CM/ECF the court was using at the time the case record containing the filing data was transmitted to AOUSC, which may or may not reflect the version of CM/ECF in place when the case was filed"
119,BIDB67,Closing date,Date case was considered 'closed' for statistical purposes,Bankruptcy Petition Newstats Snapshots Database,FJC-IDB,Closing date - Date case was considered 'closed' for statistical purposes
120,BIDB68,Closing calendar year,Calendar year case was considered 'closed' for statistical purposes,Bankruptcy Petition Newstats Snapshots Database,FJC-IDB,Closing calendar year - Calendar year case was considered 'closed' for statistical purposes
121,BIDB69,Closing fiscal year,Fiscal year case was considered 'closed' for statistical purposes,Bankruptcy Petition Newstats Snapshots Database,FJC-IDB,Closing fiscal year - Fiscal year case was considered 'closed' for statistical purposes
122,BIDB7,Office,Code of the district office in which the case is located,Bankruptcy Petition Newstats Snapshots Database; Civil Integrated Database; Criminal Integrated Database,FJC-IDB,Office - Code of the district office in which the case is located
123,BIDB70,Closing chapter,Chapter of the Bankruptcy Code under which the case closed in the bankruptcy court,Bankruptcy Petition Newstats Snapshots Database,FJC-IDB,Closing chapter - Chapter of the Bankruptcy Code under which the case closed in the bankruptcy court
124,BIDB71,Closing Subchapter V,Code indicating a case was closed as a Chapter 11 Subchapter V small business debtor reorganization case,Bankruptcy Petition Newstats Snapshots Database,FJC-IDB,Closing Subchapter V - Code indicating a case was closed as a Chapter 11 Subchapter V small business debtor reorganization case
125,BIDB72,Debtor1 closing prose,Code indicating whether the first listed debtor was represented by an attorney at the time case closed,Bankruptcy Petition Newstats Snapshots Database,FJC-IDB,Debtor1 closing prose - Code indicating whether the first listed debtor was represented by an attorney at the time case closed
126,BIDB73,Debtor1 final disposition,Code indicating the manner in which the case was disposed for the first listed debtor,Bankruptcy Petition Newstats Snapshots Database,FJC-IDB,Debtor1 final disposition - Code indicating the manner in which the case was disposed for the first listed debtor
